500,100000
207,371,27084
425,34,32121
102,354,4552
257,151,18143
224,379,28586
200,361,11863
403,464,27989
31,125,9090
239,307,15598
208,302,31377
395,419,4206
394,441,3038
448,8,30210
38,101,7639
7,474,26914
246,220,10912
314,344,1908
191,398,31286
459,138,26437
11,341,28345
440,291,20605
23,461,18604
362,8,6744
98,220,1860
312,149,32590
148,66,27941
79,235,9711
117,251,11291
473,266,14492
121,164,23218
299,430,32609
496,324,11447
479,11,22121
35,318,11157
253,426,2774
409,42,12147
464,158,5548
191,64,21524
356,161,2852
77,333,6115
66,449,13233
109,200,19672
48,210,27158
440,469,15285
58,271,7244
130,74,5545
400,376,13369
117,173,20517
23,214,6233
448,131,29960
476,335,21474
260,276,25965
77,356,13078
437,189,6086
194,36,2998
32,29,2560
479,212,21205
264,17,2616
153,321,19754
62,82,6936
245,113,30469
14,169,12461
460,412,1327
302,243,1885
301,305,10622
250,168,30692
55,326,31257
126,405,14504
253,65,2040
296,115,4927
375,362,15509
165,445,1622
428,276,32660
328,304,25883
108,339,17720
475,92,30486
398,383,16070
199,436,20339
18,401,17109
133,398,5226
185,344,26237
457,430,11324
358,497,16148
168,386,16406
151,25,21130
276,249,11746
213,471,1278
32,124,32561
282,183,11597
298,410,32619
214,453,15887
106,48,23546
135,238,19999
151,413,19378
367,242,26751
413,19,27943
42,38,15986
246,241,9137
462,474,21313
420,351,24659
332,65,8232
402,299,19568
322,210,303
33,176,28033
181,272,9206
25,445,23945
279,442,8225
75,437,10497
427,95,30648
394,280,12275
244,192,23167
234,469,32251
416,442,15705
234,436,28098
368,313,21280
439,243,19379
354,238,21916
277,432,13282
49,194,20923
167,319,12601
277,120,9064
460,68,20711
108,179,4941
141,199,14741
326,389,9378
128,456,18509
131,493,12820
120,142,27125
132,138,3153
222,265,21685
407,59,14283
53,320,30684
216,471,3074
157,137,15633
409,482,19489
224,485,14939
71,27,992
321,95,3315
247,373,25824
356,50,8919
460,456,24574
17,75,19853
201,225,4948
311,302,8872
86,150,12511
57,342,32485
93,250,2814
380,483,1781
22,55,19273
241,168,19799
450,102,19833
17,92,26318
246,365,31563
366,336,16209
21,225,10156
121,72,32651
25,177,5772
304,447,22345
307,149,27696
368,490,7011
481,408,31190
63,200,26113
423,471,5891
457,459,24143
71,46,15842
410,146,2302
357,126,18030
15,408,5408
435,149,12133
149,371,4421
281,330,13619
415,461,25311
265,359,22106
350,148,20056
172,236,8699
313,385,26724
398,436,6288
367,237,31088
428,240,20478
81,287,16953
453,95,17271
106,370,15611
188,32,3315
316,457,30896
315,310,2343
309,150,5208
351,28,26682
24,23,15939
377,355,15537
39,48,32721
28,485,1863
373,199,6187
26,8,22953
167,27,18648
105,150,17233
161,343,19778
477,35,8947
125,110,21620
303,221,29054
109,352,17368
305,350,5249
380,81,8181
150,412,32038
194,257,28982
478,338,5436
204,48,18007
265,78,14565
56,256,11639
219,229,13539
390,335,11150
232,134,2807
415,477,22064
7,148,10615
203,397,22598
130,100,16850
165,190,7476
370,8,20495
157,132,6709
217,28,24168
118,178,23452
348,106,27888
419,28,23876
401,339,7586
410,247,7026
322,301,11468
421,206,4654
13,469,12173
64,355,29791
109,489,31777
210,126,13898
294,414,29425
251,162,16203
417,257,28836
91,249,17634
87,460,20639
458,313,1373
87,416,25779
387,398,25301
435,347,29176
354,426,20274
408,128,27642
199,324,8303
219,24,7873
447,320,20572
95,299,3428
441,500,28039
454,17,20005
141,373,11037
314,338,28228
236,291,7130
117,325,14091
345,341,18532
172,179,23236
10,202,2983
365,439,27545
339,399,8
369,343,22413
169,365,24203
31,136,19464
433,230,3394
338,124,10422
374,293,19614
86,124,23721
476,8,2928
490,303,31218
407,410,30669
480,181,19255
2,218,30472
34,224,5109
271,240,22905
441,51,12127
324,497,28378
412,133,19238
212,420,9809
489,491,21133
341,364,12682
270,117,5003
49,245,17516
403,255,2808
278,118,4939
78,370,26096
153,400,12202
386,128,30192
92,412,8473
177,478,2837
25,26,20299
492,376,19704
413,466,9977
412,384,32120
80,191,9848
169,244,24592
446,485,23361
383,45,2367
279,233,11982
230,150,22392
11,455,11922
112,207,13482
369,75,19857
413,51,12229
46,329,14701
138,155,21634
53,264,6924
77,185,5855
230,352,24350
384,63,29958
102,326,32043
83,453,28055
121,470,13305
310,308,24982
412,339,26715
82,23,16488
440,204,20440
242,256,16799
383,484,25249
27,136,17291
143,281,23593
409,150,16608
465,500,7171
245,362,25917
57,18,18293
334,137,6656
449,327,29448
444,242,13907
343,456,23196
237,30,21045
325,233,16917
179,92,1327
371,457,31183
40,328,18957
144,200,6470
435,163,14395
414,286,898
277,399,6505
262,98,10875
159,274,6933
243,251,30536
78,467,8445
364,142,4044
333,412,2778
194,453,30425
191,383,9562
294,7,20001
343,225,11904
20,210,11007
426,112,2115
295,40,26118
6,253,17834
76,112,23382
209,226,15841
491,406,9762
401,91,11772
435,121,3055
444,326,32083
401,138,7285
160,287,16845
168,52,4392
163,373,30835
403,2,17363
427,258,23571
422,494,13770
273,497,9962
194,304,10656
370,388,11658
64,438,20323
481,480,28790
22,143,1996
2,321,20262
285,334,23782
32,247,17017
265,102,3857
79,271,15803
248,320,2944
249,203,28849
416,37,28872
486,265,15776
304,415,17340
498,286,12185
269,215,24946
302,440,6206
389,103,32395
500,48,7460
118,319,25538
227,90,24475
275,380,18837
167,106,18897
173,410,217
226,431,27695
172,399,16382
233,180,18015
32,457,20003
402,56,6675
272,196,19084
286,185,15575
443,193,17076
8,71,16273
180,29,2749
108,62,13946
113,226,9087
213,189,16355
345,170,15362
276,10,1617
94,418,32711
134,439,5889
381,158,1137
9,26,8564
365,12,31952
365,280,6797
427,104,26757
238,424,29902
19,102,18427
132,24,390
32,459,6795
345,457,3001
279,69,860
152,83,2204
410,336,484
15,175,768
158,226,28948
94,368,32257
397,391,3211
25,96,16588
180,361,7537
106,75,8302
348,44,14534
44,252,15823
199,132,14149
278,471,7543
400,399,21291
375,107,10450
434,81,14097
123,151,23902
430,312,19041
205,427,31772
391,234,9447
321,225,16019
60,450,20382
162,324,24411
213,464,12800
252,215,27249
499,133,13120
73,264,28788
36,290,18783
179,124,28671
99,131,20273
397,396,12185
315,360,5803
52,429,18416
23,443,7956
284,97,4441
373,366,12011
363,408,22737
324,340,24483
124,119,32746
2,351,32130
47,401,7267
122,433,20052
453,130,16819
153,44,15147
75,313,6355
491,500,22752
145,415,2528
368,91,23493
270,151,27902
49,450,24855
475,114,4099
186,134,5701
273,205,17929
328,360,9677
111,145,24077
201,353,11718
179,230,14331
87,36,14834
158,219,26180
480,105,2242
455,166,13529
323,454,7413
270,414,1528
80,358,32413
365,136,23484
431,74,8015
285,73,30381
188,86,948
424,245,4291
382,45,2230
381,112,14737
238,194,25845
429,149,9993
50,404,17609
446,88,1890
258,412,30157
336,495,13859
11,32,30471
163,417,1861
203,99,29967
54,185,1545
144,222,18189
143,111,30660
62,182,13259
482,325,31434
110,279,5329
314,81,864
419,113,3017
335,128,22048
430,227,6292
238,487,23684
70,239,26785
276,201,7069
110,372,26705
388,273,32295
107,238,1437
343,377,23149
327,289,16181
37,188,29120
7,262,7630
481,413,27243
102,57,7519
170,358,18030
3,362,27247
130,206,26727
122,458,15320
384,223,9575
349,391,2938
403,97,32181
429,26,4309
431,58,12193
273,181,13961
494,372,16120
361,29,24619
70,267,4287
470,481,18414
181,69,11824
73,319,5138
55,290,29501
202,324,4629
386,373,11265
316,440,23069
352,392,16863
342,109,1816
53,364,25670
200,313,16505
174,178,3669
307,39,12811
470,359,14849
325,174,29658
312,143,7248
146,301,22556
216,207,8455
281,3,12885
386,346,15565
456,301,28262
240,7,15350
298,227,21229
318,41,20274
186,249,23085
100,34,17340
277,442,12047
58,247,6162
23,47,11930
355,229,9426
297,68,3649
161,338,17234
56,362,3139
117,409,4206
91,165,8792
357,301,21921
422,29,4678
273,14,10008
12,167,24285
337,129,22290
111,264,645
259,461,22587
22,225,18130
495,10,11593
415,373,22883
105,241,3735
176,25,8906
348,280,5893
61,456,19211
162,479,21307
264,300,25624
377,277,29120
374,19,4034
130,267,23072
337,478,15600
224,303,32504
326,127,23517
440,201,23241
338,460,20756
250,87,5782
435,305,16571
211,38,15624
219,74,20638
433,413,13321
42,183,30473
457,436,18520
240,60,199
410,437,29640
130,299,8936
305,330,4645
209,407,15645
202,264,16889
440,277,30662
5,367,1437
104,89,13574
201,151,11873
246,80,28284
438,236,5655
64,4,26507
495,454,21856
48,458,5266
35,109,32466
394,479,401
483,144,240
177,154,10591
331,219,30484
62,269,3963
432,44,13900
204,119,11175
102,267,1001
331,282,27294
330,33,32593
147,34,6983
130,426,24861
30,240,115
204,437,15093
58,29,4709
252,84,214
344,478,24506
387,300,9300
30,20,29583
76,286,23939
235,61,11275
406,370,21220
344,328,24433
307,455,9648
317,427,18043
83,250,31171
55,231,22840
301,242,22427
22,104,18339
129,497,11297
310,217,2472
326,380,32060
469,150,14939
53,181,31586
146,151,8319
67,472,14228
378,397,31418
420,360,17043
242,137,28681
93,337,9525
373,283,30029
152,41,19218
83,47,7940
435,355,28689
205,242,17046
398,351,13945
239,310,3254
178,425,3719
20,14,23239
441,90,22987
361,392,17227
142,470,939
133,85,23999
152,391,30177
179,468,5235
479,3,10964
37,112,11076
484,136,30997
351,27,15420
408,140,23147
159,205,18306
271,23,13872
142,426,9772
279,298,27122
146,362,18372
164,134,15505
426,158,12450
10,160,26450
81,40,17264
275,226,5768
170,208,24557
397,478,25587
352,201,16582
120,408,11793
209,135,25301
135,294,27728
443,178,13412
429,307,14453
246,29,2954
231,80,16013
185,199,4697
388,21,10238
218,488,4657
165,251,19199
282,269,1337
188,475,24280
243,59,16741
190,429,2746
204,84,21153
157,34,10264
48,410,16880
112,418,21177
167,387,9625
199,448,12297
103,78,31432
279,232,1101
309,276,805
415,33,1982
451,297,16716
175,356,18119
379,309,17708
376,279,32724
339,475,21951
363,25,13928
26,122,14222
51,321,26246
279,377,26628
377,172,13448
54,340,13184
162,346,29943
274,349,8347
372,437,17669
259,294,21802
185,352,30650
196,235,27099
207,96,9455
242,23,10115
302,127,32422
369,314,30065
178,10,1648
275,75,25194
13,126,8152
361,171,14872
198,246,7680
142,125,5897
335,14,6664
9,325,26010
424,322,27850
411,484,26214
137,45,25104
31,381,32518
375,166,29784
161,277,7754
148,42,26553
174,373,13619
395,335,16262
260,221,22614
435,430,7623
433,46,5492
489,396,27812
339,152,30562
335,36,4423
141,302,9884
72,174,9453
99,53,7960
373,332,7192
168,470,9268
79,357,11559
97,60,465
337,289,32440
472,437,22011
324,367,31643
429,380,8367
15,54,27984
327,93,16286
441,39,32567
360,213,23035
500,75,23553
56,246,9400
261,381,1025
95,313,25024
146,380,5743
194,253,7436
413,460,24767
420,193,168
394,213,28302
179,270,13568
81,24,23011
356,235,13589
244,483,3756
109,237,11238
266,239,14804
474,39,8332
209,21,10040
368,334,24668
198,16,30141
83,312,28439
285,232,2262
206,73,18245
232,496,5084
172,79,15164
471,291,29872
414,486,23830
317,31,15730
386,59,27281
14,313,16340
446,469,10819
422,32,12720
427,385,22949
453,146,13806
436,387,25567
19,152,1502
129,5,10079
141,433,30351
133,186,9370
449,474,29386
481,412,6805
386,448,3516
39,337,26108
328,464,23411
135,253,32240
414,147,5050
416,255,13792
305,78,30966
386,289,3582
99,499,17254
150,447,6190
456,168,30233
412,8,13780
164,262,29909
452,313,12380
10,238,13044
257,305,11667
9,166,26896
98,295,3088
77,168,18288
63,479,15196
33,15,28761
151,409,19129
118,384,14591
293,214,14497
422,255,2232
390,474,30424
407,30,19051
369,320,31493
401,327,7788
453,62,17547
145,465,20672
63,360,7770
415,184,3265
156,97,21371
319,137,17213
43,10,3168
416,185,11906
77,314,8048
315,342,15656
290,413,18757
210,486,14188
92,240,4490
352,397,31865
164,277,10120
307,229,3067
401,224,707
476,381,5290
102,13,3074
382,15,12627
361,373,9665
3,40,22711
410,86,10076
73,67,14198
439,71,32148
101,260,15973
372,205,31900
117,397,5218
119,498,18747
185,180,17323
144,486,22253
492,7,31989
59,188,5913
146,96,6582
220,125,6566
26,24,13407
263,98,6551
234,101,2165
112,14,18446
330,6,1720
86,100,1369
416,115,25793
315,48,22735
324,129,17095
464,450,7321
76,143,7312
83,332,32623
237,482,22192
479,403,22005
48,338,10558
127,279,8119
379,281,10571
341,358,19006
200,317,12945
324,256,27273
79,21,24582
15,70,8072
271,75,23896
233,312,28785
337,439,17323
484,121,17521
249,262,2980
89,409,8364
201,305,31747
278,64,26659
310,94,32211
332,97,14027
59,124,2598
239,425,15161
201,39,14569
483,369,23002
399,331,14012
468,401,3306
404,480,23968
108,2,21723
138,75,16234
418,140,1258
435,250,16939
195,300,9735
392,220,19995
283,304,7786
137,87,18849
266,214,22119
331,429,2958
161,73,17237
97,260,21676
236,371,10163
200,60,6435
110,428,968
81,101,14193
410,393,13422
302,225,32226
329,327,9681
246,34,24769
381,152,24129
196,319,1036
412,438,22907
309,183,493
380,243,32450
449,433,24696
354,447,9420
95,164,10164
335,76,4573
45,367,24685
183,225,27623
77,295,29775
166,155,13363
42,180,27501
406,86,9358
376,79,10853
353,57,7341
182,258,3443
356,194,30114
53,101,30817
307,77,28063
416,20,29355
395,365,16874
487,29,30166
258,197,28214
69,175,21263
299,271,27542
400,81,4068
456,216,23398
359,311,19601
321,374,19320
72,85,2972
396,267,29472
73,21,26041
146,78,24834
390,411,9766
250,401,8105
411,2,19195
368,261,27462
295,144,16944
153,254,15673
68,242,18235
41,150,16938
155,388,20121
367,97,21975
134,407,17310
48,423,27626
279,189,21085
184,243,28531
469,467,23186
298,368,10963
383,422,30285
500,206,14570
475,2,22887
73,10,19907
81,157,1108
23,9,7628
348,227,2225
485,154,14192
208,259,10327
440,209,32010
320,332,24235
196,335,27476
480,357,28460
44,452,28482
65,52,24557
403,284,5599
192,139,8684
343,419,16637
50,112,657
347,349,8670
393,397,10428
400,311,5923
495,434,9503
3,154,15769
436,267,20705
466,280,7106
114,104,9912
300,95,24110
70,315,16899
116,73,12031
202,209,1571
352,304,25792
467,91,20125
120,179,17301
159,124,6570
187,127,28901
187,466,20113
239,282,12082
211,126,3376
134,133,14570
338,366,12376
266,142,3674
219,109,22812
458,437,24096
444,4,19996
204,58,1261
402,177,7438
143,372,16532
35,118,10544
364,294,26737
263,448,8553
195,247,29316
73,66,7653
448,139,674
352,115,27712
453,189,27905
204,329,14073
493,225,4413
60,332,27534
416,487,21211
47,135,30025
468,169,17012
441,376,18355
56,124,6620
77,191,26215
122,183,586
80,114,5400
488,58,17428
394,176,15823
204,423,19953
488,237,976
294,169,14960
241,131,2745
125,52,16951
52,99,11065
165,135,30544
166,71,32366
56,76,389
318,192,22847
331,405,17747
233,115,13518
384,92,26457
87,334,8727
344,421,7263
387,20,5711
183,474,14907
11,301,27308
429,138,6207
492,247,9613
75,5,3581
83,360,23626
408,33,21882
103,148,1040
173,309,21042
189,180,11659
351,247,20593
446,61,14940
231,402,18672
357,60,27778
67,247,8892
149,153,3902
497,474,25033
322,489,13862
432,259,15045
332,277,31317
299,325,13574
358,278,1792
223,94,27044
163,219,32222
97,28,6949
417,407,4375
379,289,25405
457,213,29636
443,376,7317
484,422,17179
163,463,3224
193,490,6630
55,25,13744
306,206,27857
363,245,13440
51,367,4667
500,180,1164
454,197,24619
202,239,7914
231,304,29972
30,289,2079
387,314,20655
70,161,32304
299,432,25402
303,287,20039
203,41,14699
470,129,26932
324,490,4851
60,379,13669
429,11,27169
59,29,4002
42,168,6222
128,67,32305
184,36,22029
313,72,4648
72,267,19647
359,216,22694
11,395,10534
63,185,5195
279,1,32669
155,248,8764
239,475,32600
156,84,5034
118,400,5845
463,293,31413
477,441,829
319,70,28163
6,483,19383
223,360,17793
233,386,16741
488,452,5356
419,488,10250
236,3,14567
234,207,13454
111,58,20941
42,451,26066
308,324,21380
340,456,12693
187,457,13863
181,489,11387
447,48,16294
374,101,9681
403,72,32401
319,31,30921
410,140,30523
450,94,1517
31,361,10196
85,25,22921
141,315,9040
408,227,535
166,219,26092
296,340,12335
69,457,26082
215,292,16723
165,307,4777
214,309,6523
191,319,1628
448,481,2414
150,83,14286
382,487,12118
352,69,1498
220,204,6518
432,135,9428
108,314,13904
343,179,8345
49,35,26372
429,144,9740
473,316,8659
467,316,29214
327,494,11179
253,45,17955
223,474,28003
241,206,22973
414,60,22268
252,438,13677
327,281,7995
189,351,14769
379,365,18949
50,156,8099
216,209,24144
466,207,962
270,425,10263
280,166,31073
25,336,8402
477,278,29308
95,246,19567
157,28,24506
454,104,28963
470,455,14237
215,438,6851
461,149,25240
147,345,17373
142,311,10314
220,4,19968
464,224,24081
302,286,8179
407,431,709
125,82,15337
108,197,29266
305,222,31960
60,485,15659
161,230,16086
464,50,30285
460,449,15651
214,412,24181
16,148,20698
225,411,28069
151,185,25534
22,305,28170
204,407,23205
193,394,30035
298,250,30198
340,428,1489
80,87,3061
268,27,29423
383,185,21460
147,322,23795
6,16,2496
275,443,17923
486,413,21351
295,237,30423
5,327,18850
414,178,13230
422,138,14162
95,393,12890
359,259,18057
24,261,26749
107,256,28974
147,380,271
390,44,27022
397,187,16437
269,394,31758
226,403,11790
61,289,17250
169,102,9723
188,222,10357
387,243,26103
332,466,19487
94,60,22224
495,33,16875
101,181,1015
80,355,28895
146,258,27867
109,414,26731
80,261,31046
132,181,17444
254,462,18342
190,230,11497
164,4,7186
370,321,2190
336,105,11548
212,16,20213
169,474,9192
117,433,9798
436,146,25854
294,244,12625
30,447,10628
366,313,28401
403,301,2935
324,274,9280
498,203,18375
113,460,25846
53,22,20305
398,488,21131
108,5,13926
477,181,1375
71,32,14269
296,311,22231
32,340,10512
241,484,30966
146,365,7211
70,47,216
121,311,1305
309,361,18777
388,314,8670
475,252,14973
398,299,32230
360,350,1338
378,133,8025
210,67,25023
60,286,9286
187,205,2360
169,198,5441
8,384,22778
217,89,11921
421,200,3299
245,106,15173
390,51,18752
389,264,12536
461,68,15779
216,156,14912
416,198,23519
132,298,31664
279,24,12737
123,133,6649
330,390,5860
497,296,3191
411,99,24670
140,138,21547
318,428,15956
322,490,75
288,309,24057
51,401,5739
84,108,5309
336,71,16123
197,203,1190
354,410,1736
427,79,21244
231,201,11459
207,323,470
313,129,24386
305,311,4650
68,455,3690
21,10,5991
424,444,8589
471,27,9931
151,149,31645
57,293,23534
495,467,24326
362,490,22841
415,236,31626
450,376,1603
281,293,20725
265,108,10061
184,419,10176
110,190,4173
16,57,15620
16,457,31567
105,125,28998
165,289,15632
21,294,25087
124,429,1055
199,424,25593
391,189,19955
362,275,26830
392,180,6821
152,30,1067
233,31,29526
275,18,5551
93,176,24693
83,383,8824
407,405,17491
149,426,13751
201,268,966
8,2,16874
399,201,6279
163,133,20058
153,24,18111
228,415,13884
336,21,7609
423,408,25678
468,314,938
453,329,15844
467,137,18997
134,216,22820
87,181,5504
354,154,18631
214,66,632
426,78,30763
301,53,18007
427,297,1218
413,289,3232
16,42,17285
400,275,15390
209,40,9228
99,384,2033
317,406,27425
78,60,4815
381,144,31967
251,221,23045
160,184,12988
380,166,27353
292,74,5144
355,446,24667
495,387,18459
312,78,8396
324,275,19985
475,21,6432
187,130,1414
95,358,6726
234,370,25026
440,333,20284
365,50,23687
294,256,21533
465,41,27158
229,32,5536
328,15,14546
129,426,22056
183,297,473
130,126,5718
417,155,30972
311,241,20558
133,478,15043
236,173,18967
90,398,22595
42,15,29516
382,252,32571
345,306,4598
63,67,14588
425,85,13588
213,297,11491
92,112,4604
53,409,6536
162,140,2325
351,287,17396
275,122,17300
65,297,32373
122,253,32587
59,271,12533
196,237,32430
303,469,2774
113,119,650
431,97,19132
241,324,49
361,296,25311
123,179,16903
38,136,16550
306,119,6567
135,459,13508
351,308,4647
336,124,29970
201,485,30243
106,412,978
68,331,20619
191,441,35
161,135,8308
64,174,4557
34,477,5979
272,2,22197
409,108,13968
267,276,652
430,419,19409
398,78,20895
202,167,30266
294,302,5587
488,361,21513
45,482,4395
408,142,3829
458,64,4976
45,479,7
33,332,30930
144,53,25902
309,376,17817
400,71,29193
176,443,16188
210,139,12964
180,219,7555
485,343,4622
437,247,20087
390,279,12314
311,291,24134
44,458,22694
289,351,1262
375,126,28564
119,354,1206
496,191,19527
471,495,26551
27,302,6862
21,24,17025
202,480,14956
479,288,4955
379,475,18015
263,473,2469
256,227,30343
106,261,14831
399,303,2422
427,298,31212
321,184,15460
350,371,12099
151,159,31569
364,127,12119
404,128,13230
391,317,5462
183,378,9835
36,427,28250
316,308,30735
317,50,18005
488,335,19358
331,265,2687
391,56,25816
362,323,4184
139,107,21162
297,191,31053
170,316,15480
490,159,3317
350,16,24936
228,339,22534
223,333,15604
254,91,3274
460,237,18335
145,46,8919
287,173,5186
10,31,29301
303,461,3105
228,387,28999
357,66,5840
20,267,11108
169,135,27557
166,20,5801
218,377,3510
363,394,17907
335,465,16537
194,295,3121
447,416,31935
83,403,21395
367,273,31675
105,335,20693
63,347,9233
494,139,22866
160,79,914
276,277,20223
388,18,20292
238,495,9647
293,427,4604
186,63,5950
301,327,17338
415,203,10520
32,20,1316
156,403,21055
29,345,18203
341,388,28803
306,136,19974
345,305,8635
265,459,905
479,202,189
463,55,6855
263,422,28158
404,185,7284
260,219,16133
296,338,26137
431,70,17870
251,500,20187
467,164,32126
370,100,27035
170,491,23531
33,183,3927
175,148,24555
69,142,19975
39,456,617
177,312,22380
253,263,17579
401,356,26777
73,406,16466
116,408,11790
204,47,28152
313,178,12738
341,109,23932
350,247,14194
240,417,26459
343,129,24845
454,497,167
229,96,22550
41,195,25459
455,191,23120
322,132,26600
99,320,4237
328,293,8958
241,77,11169
11,462,3494
66,83,32589
40,225,18619
157,429,25066
297,169,13161
201,277,18475
155,193,15761
456,327,17171
194,139,30101
226,352,13623
462,425,20777
284,267,6332
496,400,5460
399,468,7820
272,27,8711
31,379,19381
96,180,18066
285,323,32165
489,9,19880
119,37,5583
196,283,1596
214,251,26426
118,289,29571
141,458,3777
163,108,30900
426,496,27129
115,271,9576
259,165,27121
87,63,19878
245,295,22093
271,333,25850
196,80,2661
39,312,13868
190,398,6512
11,99,6333
101,229,4465
225,424,4690
138,92,11096
111,279,17527
174,22,23038
137,196,8042
295,190,14022
174,75,15313
301,132,15235
85,500,4184
272,91,11026
421,246,11361
271,407,23838
173,114,6178
117,447,9182
286,205,13501
396,59,23982
222,368,22327
121,349,7628
454,196,28507
389,225,32419
222,443,26602
59,334,30958
106,279,2132
307,368,2046
486,426,8130
392,446,7548
420,392,7043
476,472,9677
335,474,11597
38,87,29876
142,29,29829
412,275,5925
489,374,26686
466,307,2511
197,162,31859
310,355,31918
234,18,25744
210,309,27404
475,425,2468
346,291,19634
93,292,5331
268,413,20542
437,161,24293
275,236,14288
56,352,15362
277,85,26776
74,136,1784
38,103,21218
486,248,4516
351,141,23479
205,255,18512
343,226,10067
234,107,12044
428,486,30094
30,79,24703
29,483,14556
282,251,2712
490,119,32504
341,164,15856
441,93,11237
439,59,29483
383,241,13944
130,332,11092
26,482,31377
191,197,25131
402,276,29636
281,195,14575
203,157,11878
401,471,16516
352,52,13877
5,132,26287
377,117,2493
274,304,20996
268,182,17210
243,224,31787
232,121,20207
349,279,31881
167,247,16436
470,181,30592
93,258,2384
96,297,19703
104,111,32738
343,187,12069
184,75,28067
433,364,10562
230,451,98
227,470,30192
443,424,7557
440,295,21364
276,259,23674
232,422,22551
467,209,2263
321,102,13129
154,213,22562
207,244,22627
282,472,18542
367,34,22028
41,461,13396
332,55,10677
44,269,24057
381,463,16560
419,129,22035
487,287,8382
219,217,1330
63,257,1325
457,34,29963
445,83,3478
128,261,12278
197,400,28155
139,461,25409
396,38,4959
271,414,16166
440,351,446
118,469,2166
126,255,12717
356,109,6543
477,201,18346
222,475,22974
235,150,27757
348,372,17564
412,467,12259
484,228,32377
80,50,26779
105,23,5123
66,18,32717
366,171,12959
341,104,7743
333,316,13360
111,295,16608
192,55,11186
18,173,16732
162,113,29213
63,169,31322
366,186,27525
16,358,10898
406,446,3490
171,143,15173
30,385,10826
396,429,17307
108,324,18770
251,19,1238
107,233,3978
314,333,117
412,402,21829
306,400,9640
417,129,21564
173,454,17816
474,94,1964
71,300,5751
198,112,19187
494,156,21440
430,45,16844
322,491,5752
18,491,25234
87,168,1013
160,281,4380
153,398,11825
107,395,20468
337,313,14147
329,111,28166
364,113,31531
352,97,15077
248,142,2886
331,155,10813
236,134,11261
145,4,26210
176,50,30101
146,344,31559
452,265,24362
287,283,14915
22,382,26425
174,357,4797
313,227,13461
43,157,7391
232,454,10737
83,385,3049
331,371,12855
314,200,10311
8,260,5232
91,363,1442
251,66,32415
113,7,26417
183,70,4632
413,60,7041
432,456,5359
259,428,20583
103,288,23669
163,331,26723
154,357,32545
305,248,22460
39,109,1034
247,12,2505
199,120,20019
259,382,23462
125,443,11810
415,6,27134
50,389,31929
64,295,27775
324,358,30575
50,127,8978
472,163,13259
270,439,13
267,4,7320
205,122,7269
461,491,27479
118,337,3575
480,247,21613
11,329,11942
62,126,32386
361,47,10350
491,225,6347
230,301,902
177,348,24670
23,137,12263
305,382,23155
275,10,13133
18,434,20572
244,296,30237
468,389,1592
183,413,19354
388,394,19364
58,72,1833
214,443,26646
74,103,5018
12,52,11438
487,215,25261
222,150,13201
311,154,26442
462,446,30122
363,500,21190
94,130,18078
318,123,11634
237,220,27847
20,72,17402
411,33,22522
239,21,24511
460,59,11683
473,468,9149
159,97,23159
427,169,8571
209,156,31682
40,34,10362
318,24,4516
12,214,22026
364,149,7299
338,15,32408
404,80,9651
144,360,2107
414,219,4505
284,377,3498
211,385,1876
80,179,12308
433,127,7400
111,285,4667
174,5,24611
22,436,17903
376,283,6231
431,34,15793
425,276,7368
154,306,31958
261,144,1570
170,185,28810
162,444,1711
428,169,29516
341,408,14311
115,99,19486
295,275,21900
343,80,23225
5,182,6939
194,97,31787
36,266,21686
269,73,23310
175,397,21543
489,230,23617
392,412,16356
269,393,23136
331,489,4125
120,467,29034
89,356,29240
62,109,2398
371,366,17743
499,360,27058
119,155,638
80,225,29228
395,424,1620
44,412,30342
57,438,13776
420,165,26234
265,374,32296
42,348,27673
122,155,32631
128,183,28734
459,447,32317
335,330,7006
23,5,139
132,476,28001
255,226,6152
23,306,10321
134,19,11341
435,359,23752
302,160,4478
427,237,14435
312,218,9524
312,482,5535
208,154,5030
40,337,4685
144,85,16088
127,290,22164
385,240,11183
430,445,29444
105,423,23510
398,230,12857
232,231,14117
86,400,31767
390,9,24426
40,326,8256
398,118,26559
331,448,337
339,329,31224
64,103,32145
359,370,16887
270,375,32695
410,72,19615
43,412,27126
198,134,29630
71,440,18880
437,328,7779
106,252,19920
91,262,2193
117,120,13990
94,96,3108
271,276,14401
406,54,2472
35,407,11403
291,215,1161
231,351,30039
477,454,29292
120,158,30040
74,60,11488
309,254,11293
89,430,6250
145,373,24893
151,141,31016
19,127,21240
245,371,1578
442,61,21770
334,256,25602
437,95,14238
432,53,8271
240,34,8206
48,424,10148
400,371,25828
348,210,180
157,393,26645
191,2,11802
358,477,2721
460,257,17744
482,464,7847
412,388,69
285,26,22656
75,286,21295
39,131,22129
162,317,24490
282,267,30308
421,240,17613
75,234,4593
300,362,30586
306,16,30461
207,250,20010
21,86,3963
117,327,1943
490,40,7727
358,48,1335
163,8,28764
170,233,19419
23,317,13606
11,321,18200
204,190,30358
242,396,23612
141,17,31100
362,448,8192
121,339,24744
102,96,3648
310,357,9514
356,28,25342
303,189,26276
276,56,73
470,451,26445
339,418,12832
104,116,1302
256,17,500
306,223,57
308,318,21139
491,301,23312
62,125,24686
147,219,5908
277,367,6614
380,200,30353
22,71,29521
373,246,5264
198,19,16467
348,79,4527
197,52,4856
337,460,12256
456,79,17821
215,278,20544
376,59,10077
